ID,neighborhoodName
788nbr,Dobberkau
789nbr,Möllenbeck
790nbr,Beesewege
791nbr,Friedrichsfleiß
792nbr,Hohenwulsch
793nbr,Friedrichshof
794nbr,Grävenitz
795nbr,Schorstedt
796nbr,Berkau
797nbr,Wartenberg
798nbr,Biesenthal
799nbr,Meßdorf
800nbr,Schönebeck
801nbr,Späningen
802nbr,Badingen
803nbr,Garlipp
804nbr,Klinke
805nbr,Schinne
806nbr,Schäplitz
807nbr,Büste
808nbr,Könnigde
809nbr,Kremkau
810nbr,Keyenberg (Neu)
811nbr,Berverath (Neu)
812nbr,Westrich
813nbr,Kuckum (Neu)
814nbr,Borschemich (Neu)
815nbr,Pesch (Neu)
816nbr,Wolbeck
817nbr,Niederursel
818nbr,Lautlingen
819nbr,Margrethausen
820nbr,Gemeinde Malterdingen
821nbr,Freiamt
822nbr,Aubing-Lochhausen-Langwied
823nbr,Bellevue
824nbr,Neu Sollstedt
825nbr,Gerold
826nbr,Kranzbach
827nbr,Plattele
828nbr,Elmau
829nbr,Gemeinde Neuenburg
830nbr,Flurstedt
831nbr,Wickerstedt
832nbr,Reisdorf
833nbr,Auerstedt
834nbr,Gebstedt
835nbr,Neustedt
836nbr,Steinschleuse
837nbr,Jeppern
838nbr,Norderstapel
839nbr,Erfderdamm
840nbr,Gemeinde Creglingen
841nbr,Klein Kussewitz
842nbr,Volkenshagen
843nbr,Mellenthin
844nbr,Dewichow
845nbr,Morgenitz
846nbr,Zierzow
847nbr,Bretnig
848nbr,Hauswalde
849nbr,Spreetal
850nbr,Burghammer
851nbr,Burg
852nbr,Burgneudorf
853nbr,Zerre
854nbr,Spreewitz
855nbr,Neckarbogen
856nbr,Geelbek
857nbr,Goltoft
858nbr,Brodersby
859nbr,Ohorn
860nbr,Elstra
861nbr,Kadelhof
862nbr,Walkenried
863nbr,Zorge
864nbr,Wieda
865nbr,Roggenstorf
866nbr,Tramm
867nbr,Rankendorf
868nbr,Grevenstein
869nbr,Alt-Greschendorf
870nbr,Gemeinde Karlsruhe
871nbr,Settin
872nbr,Süderstapel
873nbr,Groß Kussewitz
874nbr,Lippoldsberg
875nbr,Vernawahlshausen
876nbr,Borg
877nbr,Wahlsburg
878nbr,Schaumburg
879nbr,Altbleyen
880nbr,Eckersberg
881nbr,Terpitz
882nbr,Wüstenhain
883nbr,Pflug
884nbr,Rüdigsdorf
885nbr,Dreba
886nbr,Knau
887nbr,Posen
888nbr,Kleina
889nbr,Köthnitz
890nbr,Linda
891nbr,Steinbrücken
892nbr,Burgk
893nbr,Teupitz
894nbr,Neuendorf
895nbr,Tornow
896nbr,Egsdorf
897nbr,Kuwalk
898nbr,Alt Vorwerk
899nbr,Boddin
900nbr,Groß Lunow
901nbr,Klein Lunow
902nbr,Neu Boddin
903nbr,Neu Vorwerk
904nbr,Basse
905nbr,Gottesgabe
906nbr,Lühburg
907nbr,Repnitz
908nbr,Strietfeld
909nbr,Pätschow
910nbr,Guest
911nbr,Diedrichshagen
912nbr,Ganschvitz
913nbr,Göhren
914nbr,Bahlenhüschen
915nbr,Petersberg
916nbr,Borstel in der Kuhle
917nbr,Krelinger Bruch
918nbr,Ahrsen
919nbr,Benefeld
920nbr,Bomlitz
921nbr,Bommelsen
922nbr,Elferdingen
923nbr,Hasberg
924nbr,Jarlingen
925nbr,Kleinharl
926nbr,Kroge
927nbr,Löverschen
928nbr,Uetzingen
929nbr,Wenzingen
930nbr,Westerharl
931nbr,Arenborn
932nbr,Gewissenruh
933nbr,Gieselwerder
